IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
43.155.22.176,443,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,26101 kB/s
8.210.38.199,38768,TRUE,SIN,Asia Pacific,Singapore,62 ms,20921 kB/s
60.249.89.74,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,88 ms,20764 kB/s
13.230.34.30,443,TRUE,NRT,Asia Pacific,Tokyo,69 ms,19280 kB/s
192.243.124.248,11223,TRUE,KIX,Asia Pacific,Osaka,71 ms,19109 kB/s
47.76.29.115,2053,TRUE,SIN,Asia Pacific,Singapore,103 ms,18536 kB/s
47.243.203.119,2087,TRUE,SIN,Asia Pacific,Singapore,94 ms,18497 kB/s
101.42.10.90,443,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,18125 kB/s
8.218.53.110,2087,TRUE,SIN,Asia Pacific,Singapore,96 ms,18077 kB/s
43.135.125.124,443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,18057 kB/s
47.76.204.76,2053,TRUE,SIN,Asia Pacific,Singapore,91 ms,17914 kB/s
211.75.223.83,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,73 ms,17900 kB/s
61.222.202.100,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,75 ms,17805 kB/s
211.72.156.10,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,81 ms,17782 kB/s
43.154.96.33,443,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,17614 kB/s
35.221.193.169,443,TRUE,TPE,Asia Pacific,Taipei,72 ms,17246 kB/s
103.30.77.198,47000,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,17078 kB/s
47.242.7.162,2053,TRUE,SIN,Asia Pacific,Singapore,99 ms,16113 kB/s
15.165.49.161,8080,TRUE,ICN,Asia Pacific,Seoul,95 ms,15732 kB/s
3.35.124.166,8080,TRUE,ICN,Asia Pacific,Seoul,99 ms,15615 kB/s
172.84.92.12,34237,TRUE,NRT,Asia Pacific,Tokyo,74 ms,15487 kB/s
47.243.18.199,2053,TRUE,SIN,Asia Pacific,Singapore,88 ms,15186 kB/s
34.80.227.7,9998,TRUE,TPE,Asia Pacific,Taipei,88 ms,15058 kB/s
